epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,387.121,1.19259,0.97217,1.20661,0.67991,0.6697,0.70143,0.41897,1.42327,1.21445,1.38361,0.0011882,0.0011882,0.0011882
43,395.27,1.18402,0.92813,1.20334,0.77284,0.61515,0.71193,0.42105,1.43329,1.264,1.41206,0.0011684,0.0011684,0.0011684
44,405.074,1.17803,0.91112,1.1885,0.77514,0.6303,0.72682,0.44479,1.39655,1.15992,1.39929,0.0011486,0.0011486,0.0011486
45,413.113,1.1449,0.8898,1.18277,0.72635,0.67273,0.71742,0.43607,1.44857,1.21022,1.40484,0.0011288,0.0011288,0.0011288
46,422.752,1.15118,0.87722,1.19291,0.68723,0.7,0.70266,0.43325,1.4413,1.26457,1.39659,0.001109,0.001109,0.001109
47,430.985,1.09601,0.85825,1.1468,0.80149,0.63636,0.73693,0.44142,1.40196,1.1525,1.36553,0.0010892,0.0010892,0.0010892
48,439.796,1.15239,0.8604,1.17564,0.78222,0.66061,0.74186,0.44093,1.44451,1.16669,1.4283,0.0010694,0.0010694,0.0010694
49,449.822,1.13697,0.91556,1.18334,0.80136,0.6,0.72359,0.42673,1.44888,1.13899,1.41161,0.0010496,0.0010496,0.0010496
50,457.338,1.17877,0.9195,1.18499,0.76184,0.66887,0.74866,0.44937,1.41752,1.13955,1.37913,0.0010298,0.0010298,0.0010298
51,466.779,1.13599,0.91685,1.16367,0.81753,0.61818,0.73156,0.43253,1.45985,1.1504,1.44466,0.00101,0.00101,0.00101
52,475.371,1.10648,0.85205,1.15974,0.76792,0.60606,0.71838,0.43256,1.43254,1.20444,1.37779,0.0009902,0.0009902,0.0009902
53,484.795,1.1181,0.84912,1.14939,0.83934,0.60161,0.7493,0.45495,1.39232,1.1224,1.35078,0.0009704,0.0009704,0.0009704
54,493.848,1.13005,0.83354,1.15286,0.72317,0.64912,0.72822,0.44604,1.38707,1.17215,1.36925,0.0009506,0.0009506,0.0009506
55,502.998,1.08031,0.86101,1.1438,0.7249,0.64242,0.71954,0.44576,1.35728,1.13802,1.34038,0.0009308,0.0009308,0.0009308
56,512.612,1.06929,0.81768,1.13677,0.77359,0.67299,0.74017,0.45691,1.37402,1.12718,1.34021,0.000911,0.000911,0.000911
57,520.04,1.05004,0.79305,1.12027,0.72224,0.67273,0.72334,0.45066,1.39198,1.22288,1.3429,0.0008912,0.0008912,0.0008912
