epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5985.37,1.22305,1.02482,1.26854,0.83276,0.68022,0.78482,0.51684,1.32657,0.99322,1.29756,0.000359409,0.000359409,0.000359409
43,6127.23,1.21294,1.00435,1.25309,0.80266,0.70812,0.7894,0.51283,1.34205,0.9939,1.29865,0.000341077,0.000341077,0.000341077
44,6268.93,1.19257,0.99588,1.24227,0.82117,0.71159,0.79656,0.52294,1.33875,0.97738,1.29704,0.000322745,0.000322745,0.000322745
45,6411.75,1.19397,0.96598,1.24337,0.81714,0.7014,0.78965,0.52065,1.32759,0.96885,1.29455,0.000304414,0.000304414,0.000304414
46,6553.91,1.18439,0.97429,1.24521,0.80052,0.72123,0.80173,0.52731,1.31885,0.96307,1.28112,0.000286083,0.000286083,0.000286083
47,6695.19,1.18165,0.95566,1.23751,0.82934,0.71853,0.80077,0.52769,1.32313,0.94993,1.28634,0.000267751,0.000267751,0.000267751
48,6836.73,1.18133,0.94473,1.23019,0.82544,0.71686,0.80433,0.52988,1.32637,0.95396,1.2913,0.00024942,0.00024942,0.00024942
49,6981.51,1.16439,0.93052,1.22524,0.83325,0.70941,0.80091,0.5324,1.32646,0.95948,1.29546,0.000231088,0.000231088,0.000231088
50,7125.37,1.16541,0.93003,1.22328,0.83078,0.71477,0.80452,0.53102,1.31649,0.94345,1.28645,0.000212757,0.000212757,0.000212757
51,7259.96,1.12986,0.80354,1.20201,0.84076,0.69427,0.79889,0.52463,1.32596,0.95986,1.28957,0.000194425,0.000194425,0.000194425
52,7387.06,1.09976,0.77129,1.17744,0.84535,0.69526,0.79823,0.52186,1.32874,0.97046,1.28788,0.000176094,0.000176094,0.000176094
53,7515.39,1.10011,0.76018,1.18379,0.85277,0.70324,0.79775,0.52845,1.32985,0.96316,1.29525,0.000157762,0.000157762,0.000157762
54,7642.47,1.08084,0.74124,1.16975,0.84831,0.70556,0.80311,0.53465,1.32466,0.95546,1.29617,0.000139431,0.000139431,0.000139431
55,7768.34,1.07714,0.72612,1.1645,0.84139,0.713,0.80429,0.52821,1.33252,0.95586,1.30042,0.000121099,0.000121099,0.000121099
56,7894.79,1.06272,0.71945,1.15869,0.82214,0.72246,0.80539,0.53512,1.32658,0.94489,1.29602,0.000102768,0.000102768,0.000102768
57,8023.11,1.05526,0.71187,1.15697,0.83572,0.7092,0.79817,0.52727,1.33265,0.95543,1.30138,8.4436e-05,8.4436e-05,8.4436e-05
58,8149.97,1.06225,0.70691,1.1593,0.8723,0.69039,0.80131,0.52842,1.33271,0.9536,1.29699,6.61045e-05,6.61045e-05,6.61045e-05
59,8277.1,1.05484,0.70595,1.15359,0.86345,0.69713,0.80465,0.53077,1.3324,0.95784,1.29684,4.7773e-05,4.7773e-05,4.7773e-05
60,8405.92,1.03704,0.69247,1.1416,0.85361,0.70632,0.80303,0.53154,1.33272,0.95429,1.29895,2.94415e-05,2.94415e-05,2.94415e-05
