epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,4375.23,0.66234,1.14644,1.13366,0.69046,0.62637,0.67811,0.53613,0.85431,1.25035,1.08472,8.154e-05,8.154e-05,8.154e-05
42,4485.24,0.64744,1.12925,1.11904,0.72764,0.59509,0.6888,0.54623,0.87029,1.23039,1.1015,8.02035e-05,8.02035e-05,8.02035e-05
43,4593.23,0.64599,1.09742,1.12142,0.72863,0.58899,0.7012,0.57065,0.84005,1.25072,1.08591,7.8867e-05,7.8867e-05,7.8867e-05
44,4701.11,0.65181,1.11825,1.12155,0.65119,0.65885,0.69438,0.55224,0.85066,1.23711,1.09018,7.75305e-05,7.75305e-05,7.75305e-05
45,4809.26,0.63405,1.08697,1.11056,0.6933,0.64212,0.69587,0.55525,0.85518,1.22826,1.09703,7.6194e-05,7.6194e-05,7.6194e-05
46,4913.17,0.62578,1.06983,1.10919,0.67107,0.63604,0.69232,0.54387,0.84216,1.21775,1.08501,7.48575e-05,7.48575e-05,7.48575e-05
47,5017.83,0.63115,1.06322,1.10884,0.70446,0.65029,0.70682,0.56541,0.83984,1.18114,1.08398,7.3521e-05,7.3521e-05,7.3521e-05
48,5122.39,0.63208,1.06594,1.11028,0.70124,0.67135,0.70214,0.57172,0.81976,1.15052,1.07036,7.21845e-05,7.21845e-05,7.21845e-05
49,5228.22,0.62121,1.039,1.10692,0.73762,0.62921,0.69943,0.56911,0.82795,1.14691,1.08148,7.0848e-05,7.0848e-05,7.0848e-05
50,5332.14,0.62476,1.04884,1.10845,0.78612,0.59719,0.69039,0.55941,0.82539,1.1377,1.06754,6.95115e-05,6.95115e-05,6.95115e-05
51,5435.49,0.6169,1.0095,1.10843,0.73847,0.62619,0.70276,0.5653,0.80973,1.11566,1.05974,6.8175e-05,6.8175e-05,6.8175e-05
52,5539.17,0.61125,1.01367,1.10354,0.66758,0.69807,0.70909,0.57947,0.81203,1.12077,1.06761,6.68385e-05,6.68385e-05,6.68385e-05
53,5643.25,0.61525,1.0049,1.10279,0.70414,0.67687,0.71918,0.58521,0.81872,1.08761,1.06834,6.5502e-05,6.5502e-05,6.5502e-05
54,5747.62,0.60128,0.98747,1.09759,0.69338,0.6644,0.71896,0.57759,0.81911,1.09682,1.06508,6.41655e-05,6.41655e-05,6.41655e-05
55,5850.81,0.59833,0.96929,1.09105,0.73145,0.65706,0.7113,0.57633,0.81776,1.09195,1.07026,6.2829e-05,6.2829e-05,6.2829e-05
56,5958.67,0.59982,0.97329,1.09463,0.76408,0.63453,0.71587,0.59172,0.80879,1.07225,1.05005,6.14925e-05,6.14925e-05,6.14925e-05
57,6066.23,0.59865,0.95856,1.09355,0.68633,0.67985,0.74209,0.60448,0.80836,1.06971,1.05225,6.0156e-05,6.0156e-05,6.0156e-05
58,6172.36,0.58753,0.94576,1.09016,0.71666,0.66953,0.71082,0.58322,0.80934,1.04581,1.05114,5.88195e-05,5.88195e-05,5.88195e-05
59,6277.62,0.58926,0.93575,1.09101,0.65342,0.70522,0.71946,0.58436,0.81379,1.06976,1.05427,5.7483e-05,5.7483e-05,5.7483e-05
